"";"team.name";"player.name";"num_elim_players_in_line";"number_passes";"num_eliminated_players";"number_of_matches";"average_length_gain";"nb_passes_forward";"nb_pass_broke_line";"average.ball.end.x";"average.ball.end.y";"average_nb_players_forward";"nb_pass_complete";"num_eliminated_players_complete_pass";"real_average_length_gain";"ratio_pass_broke_line";"ratio_nb_eliminated_players";"num_elim_players_in_line_by_match";"number_passes_by_match";"num_eliminated_players_by_match";"average_length_gain_by_match";"nb_passes_forward_by_match";"nb_pass_broke_line_by_match";"average.ball.end.x_by_match";"average.ball.end.y_by_match";"average_nb_players_forward_by_match";"nb_pass_complete_by_match";"real_average_length_gain_by_match";"num_eliminated_players_complete_pass_by_match";"num_eliminated_players_in_line_by_match"
"563";"Hungary";"Ádám Szalai";7;27;54;3;18,36;9;2;72,05;53,1;1,27;6;15;14,2;0,074;0,13;2,333;9;18;6,12;3;0,667;24,017;17,7;0,423;2;4,733;5;2,333
"60";"Hungary";"András Schäfer";11;56;77;3;11,77;11;2;63,8;22,83;4,33;15;32;2,39;0,036;0,143;3,667;18,667;25,667;3,923;3,667;0,667;21,267;7,61;1,443;5;0,797;10,667;3,667
"672";"Hungary";"Attila Fiola";7;62;108;3;12,21;10;1;63,35;14,61;3,87;8;17;5,91;0,016;0,065;2,333;20,667;36;4,07;3,333;0,333;21,117;4,87;1,29;2,667;1,97;5,667;2,333
"697";"Hungary";"Szabolcs Schön";0;5;9;2;22,4;2;0;80,2;25,3;0,67;2;2;13,9;0;0;0;2,5;4,5;11,2;1;0;40,1;12,65;0,335;1;6,95;1;0
"7621";"Germany";"Kevin Volland";2;8;16;2;5,5;1;1;79,7;68,9;2;2;2;0,4;0,125;0,125;1;4;8;2,75;0,5;0,5;39,85;34,45;1;1;0,2;1;1
"7631";"Germany";"Jamal Musiala";0;5;1;1;2,55;2;0;79,18;26,92;5,6;5;1;-2,72;0;0;0;5;1;2,55;2;0;79,18;26,92;5,6;5;-2,72;1;0
"7921";"Hungary";"Kevin Varga";0;5;7;2;8,2;2;0;78,93;10,9;3;3;4;1,77;0;0;0;2,5;3,5;4,1;1;0;39,465;5,45;1,5;1,5;0,885;2;0
"8231";"Hungary";"Gergő Lovrencsics";9;29;80;3;0;0;0;4,6;45,6;5;1;0;-10;0;0,112;3;9,667;26,667;0;0;0;1,533;15,2;1,667;0,333;-3,333;0;3
"829";"Hungary";"Nemanja Nikolić";0;13;5;2;13,3;1;0;69,2;5;1,5;1;0;5,15;0;0;0;6,5;2,5;6,65;0,5;0;34,6;2,5;0,75;0,5;2,575;0;0
"135";"Scotland";"Stuart Armstrong";14;56;103;3;10,96;15;3;71,51;37,12;3,87;17;25;3,2;0,054;0,136;4,667;18,667;34,333;3,653;5;1;23,837;12,373;1,29;5,667;1,067;8,333;4,667
"222";"Scotland";"Kieran Tierney";0;80;133;2;16,75;24;0;66,03;29,38;3,67;30;35;5,19;0;0;0;40;66,5;8,375;12;0;33,015;14,69;1,835;15;2,595;17,5;0
"323";"Scotland";"Stephen O""Donnell";15;90;220;3;18,37;11;1;71,47;58,46;4;12;13;4,9;0,011;0,068;5;30;73,333;6,123;3,667;0,333;23,823;19,487;1,333;4;1,633;4,333;5
"513";"Scotland";"Grant Hanley";2;80;44;3;7,68;4;0;21,6;45,15;3,88;7;0;-6,38;0;0,045;0,667;26,667;14,667;2,56;1,333;0;7,2;15,05;1,293;2,333;-2,127;0;0,667
"613";"Scotland";"David Marshall";0;76;121;3;38;26;0;48,71;32,32;0,5;17;20;38;0;0;0;25,333;40,333;12,667;8,667;0;16,237;10,773;0,167;5,667;12,667;6,667;0
"715";"Scotland";"Callum McGregor";11;86;106;3;12,05;20;3;66,63;36;4,61;30;44;3,68;0,035;0,104;3,667;28,667;35,333;4,017;6,667;1;22,21;12;1,537;10;1,227;14,667;3,667
"89";"Scotland";"John McGinn";29;79;154;3;15,36;18;4;84,71;44,59;3,54;22;46;8,25;0,051;0,188;9,667;26,333;51,333;5,12;6;1,333;28,237;14,863;1,18;7,333;2,75;15,333;9,667
"242";"Scotland";"Scott McTominay";24;109;201;3;14,92;24;7;61,85;47,14;3,29;26;55;8,53;0,064;0,119;8;36,333;67;4,973;8;2,333;20,617;15,713;1,097;8,667;2,843;18,333;8
"402";"Scotland";"Andrew Robertson";36;136;268;3;17,1;21;4;67,66;32,59;3,31;33;39;4,67;0,029;0,134;12;45,333;89,333;5,7;7;1,333;22,553;10,863;1,103;11;1,557;13;12
"716";"Scotland";"Che Adams";20;47;64;3;9,59;8;1;79,73;39,72;3,36;9;11;1,59;0,021;0,312;6,667;15,667;21,333;3,197;2,667;0,333;26,577;13,24;1,12;3;0,53;3,667;6,667
"801";"Scotland";"Lyndon Dykes";6;47;97;3;9,3;8;1;77,82;42,95;2,64;7;7;5,52;0,021;0,062;2;15,667;32,333;3,1;2,667;0,333;25,94;14,317;0,88;2,333;1,84;2,333;2
"444";"Scotland";"Scott McKenna";0;16;24;1;13,73;12;0;55,69;45,42;2,94;13;8;8,23;0;0;0;16;24;13,73;12;0;55,69;45,42;2,94;13;8,23;8;0
"677";"Croatia";"Borna Barišić";2;13;19;1;16,29;9;1;66,6;14,24;3;10;14;9,5;0,077;0,105;2;13;19;16,29;9;1;66,6;14,24;3;10;9,5;14;2
"6851";"Scotland";"Ryan Fraser";2;16;20;2;13,75;2;0;93,97;36,88;3,17;4;10;2,12;0;0,1;1;8;10;6,875;1;0;46,985;18,44;1,585;2;1,06;5;1
